,COUNTYNAME,Year,Provisional Drug Overdose Deaths,Coordinates
20,Auglaize,2021,10,"[[[-83.88, 40.645], [-83.88, 40.539], [-83.912, 40.535], [-83.994, 40.535], [-83.993, 40.483], [-84.002, 40.483], [-84.339, 40.481], [-84.339, 40.379], [-84.434, 40.378], [-84.434, 40.355], [-84.455, 40.358], [-84.455, 40.553], [-84.456, 40.685], [-84.397, 40.685], [-84.223, 40.686], [-84.222, 40.657], [-84.108, 40.658], [-84.108, 40.643], [-84.051, 40.644], [-83.88, 40.645]]]"
21,Belmont,2020,242,"[[[-80.703, 40.157], [-80.709, 40.134], [-80.706, 40.11], [-80.71, 40.102], [-80.731, 40.087], [-80.738, 40.071], [-80.731, 40.057], [-80.732, 40.039], [-80.739, 40.023], [-80.741, 40.008], [-80.737, 39.977], [-80.741, 39.969], [-80.758, 39.957], [-80.763, 39.944], [-80.753, 39.919], [-80.765, 39.909], [-80.784, 39.917], [-80.803, 39.916], [-80.807, 39.909], [-80.798, 39.89], [-80.791, 39.883], [-80.788, 39.87], [-80.801, 39.858], [-80.82, 39.85], [-80.989, 39.857], [-81.017, 39.86], [-81.127, 39.864], [-81.138, 39.866], [-81.237, 39.867], [-81.234, 39.951], [-81.226, 40.17], [-81.226, 40.173], [-81.112, 40.171], [-81.108, 40.168], [-80.991, 40.163], [-80.883, 40.16], [-80.767, 40.155], [-80.766, 40.16], [-80.703, 40.157]]]"
22,Belmont,2021,305,"[[[-80.703, 40.157], [-80.709, 40.134], [-80.706, 40.11], [-80.71, 40.102], [-80.731, 40.087], [-80.738, 40.071], [-80.731, 40.057], [-80.732, 40.039], [-80.739, 40.023], [-80.741, 40.008], [-80.737, 39.977], [-80.741, 39.969], [-80.758, 39.957], [-80.763, 39.944], [-80.753, 39.919], [-80.765, 39.909], [-80.784, 39.917], [-80.803, 39.916], [-80.807, 39.909], [-80.798, 39.89], [-80.791, 39.883], [-80.788, 39.87], [-80.801, 39.858], [-80.82, 39.85], [-80.989, 39.857], [-81.017, 39.86], [-81.127, 39.864], [-81.138, 39.866], [-81.237, 39.867], [-81.234, 39.951], [-81.226, 40.17], [-81.226, 40.173], [-81.112, 40.171], [-81.108, 40.168], [-80.991, 40.163], [-80.883, 40.16], [-80.767, 40.155], [-80.766, 40.16], [-80.703, 40.157]]]"
23,Belmont,2022,265,"[[[-80.703, 40.157], [-80.709, 40.134], [-80.706, 40.11], [-80.71, 40.102], [-80.731, 40.087], [-80.738, 40.071], [-80.731, 40.057], [-80.732, 40.039], [-80.739, 40.023], [-80.741, 40.008], [-80.737, 39.977], [-80.741, 39.969], [-80.758, 39.957], [-80.763, 39.944], [-80.753, 39.919], [-80.765, 39.909], [-80.784, 39.917], [-80.803, 39.916], [-80.807, 39.909], [-80.798, 39.89], [-80.791, 39.883], [-80.788, 39.87], [-80.801, 39.858], [-80.82, 39.85], [-80.989, 39.857], [-81.017, 39.86], [-81.127, 39.864], [-81.138, 39.866], [-81.237, 39.867], [-81.234, 39.951], [-81.226, 40.17], [-81.226, 40.173], [-81.112, 40.171], [-81.108, 40.168], [-80.991, 40.163], [-80.883, 40.16], [-80.767, 40.155], [-80.766, 40.16], [-80.703, 40.157]]]"
24,Belmont,2023,397,"[[[-80.703, 40.157], [-80.709, 40.134], [-80.706, 40.11], [-80.71, 40.102], [-80.731, 40.087], [-80.738, 40.071], [-80.731, 40.057], [-80.732, 40.039], [-80.739, 40.023], [-80.741, 40.008], [-80.737, 39.977], [-80.741, 39.969], [-80.758, 39.957], [-80.763, 39.944], [-80.753, 39.919], [-80.765, 39.909], [-80.784, 39.917], [-80.803, 39.916], [-80.807, 39.909], [-80.798, 39.89], [-80.791, 39.883], [-80.788, 39.87], [-80.801, 39.858], [-80.82, 39.85], [-80.989, 39.857], [-81.017, 39.86], [-81.127, 39.864], [-81.138, 39.866], [-81.237, 39.867], [-81.234, 39.951], [-81.226, 40.17], [-81.226, 40.173], [-81.112, 40.171], [-81.108, 40.168], [-80.991, 40.163], [-80.883, 40.16], [-80.767, 40.155], [-80.766, 40.16], [-80.703, 40.157]]]"
25,Brown,2020,237,"[[[-83.673, 39.02], [-83.697, 38.762], [-83.705, 38.639], [-83.718, 38.645], [-83.755, 38.649], [-83.767, 38.654], [-83.775, 38.664], [-83.782, 38.686], [-83.795, 38.703], [-83.823, 38.71], [-83.841, 38.722], [-83.848, 38.745], [-83.857, 38.756], [-83.869, 38.761], [-83.925, 38.773], [-83.943, 38.783], [-83.96, 38.787], [-84.053, 38.773], [-84.043, 38.847], [-84.041, 38.875], [-84.005, 39.147], [-84, 39.172], [-83.994, 39.254], [-83.866, 39.247], [-83.867, 39.142], [-83.871, 39.021], [-83.817, 39.02], [-83.702, 39.021], [-83.673, 39.02]]]"
26,Brown,2021,289,"[[[-83.673, 39.02], [-83.697, 38.762], [-83.705, 38.639], [-83.718, 38.645], [-83.755, 38.649], [-83.767, 38.654], [-83.775, 38.664], [-83.782, 38.686], [-83.795, 38.703], [-83.823, 38.71], [-83.841, 38.722], [-83.848, 38.745], [-83.857, 38.756], [-83.869, 38.761], [-83.925, 38.773], [-83.943, 38.783], [-83.96, 38.787], [-84.053, 38.773], [-84.043, 38.847], [-84.041, 38.875], [-84.005, 39.147], [-84, 39.172], [-83.994, 39.254], [-83.866, 39.247], [-83.867, 39.142], [-83.871, 39.021], [-83.817, 39.02], [-83.702, 39.021], [-83.673, 39.02]]]"
27,Brown,2022,358,"[[[-83.673, 39.02], [-83.697, 38.762], [-83.705, 38.639], [-83.718, 38.645], [-83.755, 38.649], [-83.767, 38.654], [-83.775, 38.664], [-83.782, 38.686], [-83.795, 38.703], [-83.823, 38.71], [-83.841, 38.722], [-83.848, 38.745], [-83.857, 38.756], [-83.869, 38.761], [-83.925, 38.773], [-83.943, 38.783], [-83.96, 38.787], [-84.053, 38.773], [-84.043, 38.847], [-84.041, 38.875], [-84.005, 39.147], [-84, 39.172], [-83.994, 39.254], [-83.866, 39.247], [-83.867, 39.142], [-83.871, 39.021], [-83.817, 39.02], [-83.702, 39.021], [-83.673, 39.02]]]"
28,Brown,2023,277,"[[[-83.673, 39.02], [-83.697, 38.762], [-83.705, 38.639], [-83.718, 38.645], [-83.755, 38.649], [-83.767, 38.654], [-83.775, 38.664], [-83.782, 38.686], [-83.795, 38.703], [-83.823, 38.71], [-83.841, 38.722], [-83.848, 38.745], [-83.857, 38.756], [-83.869, 38.761], [-83.925, 38.773], [-83.943, 38.783], [-83.96, 38.787], [-84.053, 38.773], [-84.043, 38.847], [-84.041, 38.875], [-84.005, 39.147], [-84, 39.172], [-83.994, 39.254], [-83.866, 39.247], [-83.867, 39.142], [-83.871, 39.021], [-83.817, 39.02], [-83.702, 39.021], [-83.673, 39.02]]]"
29,Butler,2020,2404,"[[[-84.479, 39.59], [-84.366, 39.59], [-84.365, 39.547], [-84.359, 39.544], [-84.332, 39.547], [-84.34, 39.456], [-84.337, 39.451], [-84.345, 39.383], [-84.353, 39.292], [-84.388, 39.297], [-84.429, 39.298], [-84.464, 39.303], [-84.483, 39.301], [-84.505, 39.306], [-84.524, 39.303], [-84.563, 39.308], [-84.599, 39.309], [-84.631, 39.312], [-84.642, 39.305], [-84.703, 39.305], [-84.819, 39.306], [-84.819, 39.353], [-84.817, 39.413], [-84.815, 39.568], [-84.591, 39.568], [-84.479, 39.568], [-84.479, 39.59]]]"
30,Butler,2021,2439,"[[[-84.479, 39.59], [-84.366, 39.59], [-84.365, 39.547], [-84.359, 39.544], [-84.332, 39.547], [-84.34, 39.456], [-84.337, 39.451], [-84.345, 39.383], [-84.353, 39.292], [-84.388, 39.297], [-84.429, 39.298], [-84.464, 39.303], [-84.483, 39.301], [-84.505, 39.306], [-84.524, 39.303], [-84.563, 39.308], [-84.599, 39.309], [-84.631, 39.312], [-84.642, 39.305], [-84.703, 39.305], [-84.819, 39.306], [-84.819, 39.353], [-84.817, 39.413], [-84.815, 39.568], [-84.591, 39.568], [-84.479, 39.568], [-84.479, 39.59]]]"
31,Butler,2022,2359,"[[[-84.479, 39.59], [-84.366, 39.59], [-84.365, 39.547], [-84.359, 39.544], [-84.332, 39.547], [-84.34, 39.456], [-84.337, 39.451], [-84.345, 39.383], [-84.353, 39.292], [-84.388, 39.297], [-84.429, 39.298], [-84.464, 39.303], [-84.483, 39.301], [-84.505, 39.306], [-84.524, 39.303], [-84.563, 39.308], [-84.599, 39.309], [-84.631, 39.312], [-84.642, 39.305], [-84.703, 39.305], [-84.819, 39.306], [-84.819, 39.353], [-84.817, 39.413], [-84.815, 39.568], [-84.591, 39.568], [-84.479, 39.568], [-84.479, 39.59]]]"
32,Butler,2023,2134,"[[[-84.479, 39.59], [-84.366, 39.59], [-84.365, 39.547], [-84.359, 39.544], [-84.332, 39.547], [-84.34, 39.456], [-84.337, 39.451], [-84.345, 39.383], [-84.353, 39.292], [-84.388, 39.297], [-84.429, 39.298], [-84.464, 39.303], [-84.483, 39.301], [-84.505, 39.306], [-84.524, 39.303], [-84.563, 39.308], [-84.599, 39.309], [-84.631, 39.312], [-84.642, 39.305], [-84.703, 39.305], [-84.819, 39.306], [-84.819, 39.353], [-84.817, 39.413], [-84.815, 39.568], [-84.591, 39.568], [-84.479, 39.568], [-84.479, 39.59]]]"
33,Carroll,2020,20,"[[[-81.087, 40.728], [-80.918, 40.727], [-80.917, 40.701], [-80.918, 40.643], [-80.861, 40.643], [-80.862, 40.6], [-80.863, 40.555], [-80.921, 40.556], [-80.924, 40.468], [-80.94, 40.469], [-80.942, 40.425], [-81.085, 40.428], [-81.1, 40.431], [-81.21, 40.434], [-81.212, 40.431], [-81.27, 40.434], [-81.268, 40.513], [-81.264, 40.565], [-81.322, 40.567], [-81.317, 40.652], [-81.241, 40.651], [-81.237, 40.724], [-81.199, 40.722], [-81.199, 40.729], [-81.087, 40.728]]]"
34,Carroll,2021,0,"[[[-81.087, 40.728], [-80.918, 40.727], [-80.917, 40.701], [-80.918, 40.643], [-80.861, 40.643], [-80.862, 40.6], [-80.863, 40.555], [-80.921, 40.556], [-80.924, 40.468], [-80.94, 40.469], [-80.942, 40.425], [-81.085, 40.428], [-81.1, 40.431], [-81.21, 40.434], [-81.212, 40.431], [-81.27, 40.434], [-81.268, 40.513], [-81.264, 40.565], [-81.322, 40.567], [-81.317, 40.652], [-81.241, 40.651], [-81.237, 40.724], [-81.199, 40.722], [-81.199, 40.729], [-81.087, 40.728]]]"
35,Carroll,2022,0,"[[[-81.087, 40.728], [-80.918, 40.727], [-80.917, 40.701], [-80.918, 40.643], [-80.861, 40.643], [-80.862, 40.6], [-80.863, 40.555], [-80.921, 40.556], [-80.924, 40.468], [-80.94, 40.469], [-80.942, 40.425], [-81.085, 40.428], [-81.1, 40.431], [-81.21, 40.434], [-81.212, 40.431], [-81.27, 40.434], [-81.268, 40.513], [-81.264, 40.565], [-81.322, 40.567], [-81.317, 40.652], [-81.241, 40.651], [-81.237, 40.724], [-81.199, 40.722], [-81.199, 40.729], [-81.087, 40.728]]]"
36,Champaign,2020,159,"[[[-83.504, 40.111], [-83.515, 40.011], [-83.633, 40.016], [-83.821, 40.028], [-83.896, 40.032], [-84.036, 40.04], [-84.035, 40.056], [-84.023, 40.184], [-84.014, 40.274], [-83.983, 40.271], [-83.784, 40.26], [-83.785, 40.245], [-83.551, 40.229], [-83.494, 40.225], [-83.504, 40.111]]]"
