,COUNTYNAME,Year,Provisional Drug Overdose Deaths,Coordinates
100,Gallia,2020,274,"[[[-82.285, 38.584], [-82.362, 38.586], [-82.354, 38.676], [-82.472, 38.682], [-82.467, 38.741], [-82.487, 38.743], [-82.484, 38.772], [-82.583, 38.78], [-82.576, 38.844], [-82.574, 38.853], [-82.455, 38.844], [-82.44, 38.976], [-82.435, 39.035], [-82.323, 39.028], [-82.323, 39.013], [-82.217, 39.009], [-82.095, 39.002], [-82.1, 38.952], [-82.124, 38.913], [-82.142, 38.893], [-82.138, 38.861], [-82.141, 38.847], [-82.147, 38.835], [-82.169, 38.82], [-82.191, 38.813], [-82.209, 38.801], [-82.217, 38.788], [-82.218, 38.775], [-82.197, 38.759], [-82.191, 38.733], [-82.181, 38.711], [-82.189, 38.682], [-82.182, 38.657], [-82.173, 38.639], [-82.169, 38.621], [-82.173, 38.608], [-82.18, 38.6], [-82.197, 38.592], [-82.213, 38.591], [-82.251, 38.598], [-82.267, 38.596], [-82.285, 38.584]]]"
101,Gallia,2021,332,"[[[-82.285, 38.584], [-82.362, 38.586], [-82.354, 38.676], [-82.472, 38.682], [-82.467, 38.741], [-82.487, 38.743], [-82.484, 38.772], [-82.583, 38.78], [-82.576, 38.844], [-82.574, 38.853], [-82.455, 38.844], [-82.44, 38.976], [-82.435, 39.035], [-82.323, 39.028], [-82.323, 39.013], [-82.217, 39.009], [-82.095, 39.002], [-82.1, 38.952], [-82.124, 38.913], [-82.142, 38.893], [-82.138, 38.861], [-82.141, 38.847], [-82.147, 38.835], [-82.169, 38.82], [-82.191, 38.813], [-82.209, 38.801], [-82.217, 38.788], [-82.218, 38.775], [-82.197, 38.759], [-82.191, 38.733], [-82.181, 38.711], [-82.189, 38.682], [-82.182, 38.657], [-82.173, 38.639], [-82.169, 38.621], [-82.173, 38.608], [-82.18, 38.6], [-82.197, 38.592], [-82.213, 38.591], [-82.251, 38.598], [-82.267, 38.596], [-82.285, 38.584]]]"
102,Gallia,2022,237,"[[[-82.285, 38.584], [-82.362, 38.586], [-82.354, 38.676], [-82.472, 38.682], [-82.467, 38.741], [-82.487, 38.743], [-82.484, 38.772], [-82.583, 38.78], [-82.576, 38.844], [-82.574, 38.853], [-82.455, 38.844], [-82.44, 38.976], [-82.435, 39.035], [-82.323, 39.028], [-82.323, 39.013], [-82.217, 39.009], [-82.095, 39.002], [-82.1, 38.952], [-82.124, 38.913], [-82.142, 38.893], [-82.138, 38.861], [-82.141, 38.847], [-82.147, 38.835], [-82.169, 38.82], [-82.191, 38.813], [-82.209, 38.801], [-82.217, 38.788], [-82.218, 38.775], [-82.197, 38.759], [-82.191, 38.733], [-82.181, 38.711], [-82.189, 38.682], [-82.182, 38.657], [-82.173, 38.639], [-82.169, 38.621], [-82.173, 38.608], [-82.18, 38.6], [-82.197, 38.592], [-82.213, 38.591], [-82.251, 38.598], [-82.267, 38.596], [-82.285, 38.584]]]"
103,Gallia,2023,208,"[[[-82.285, 38.584], [-82.362, 38.586], [-82.354, 38.676], [-82.472, 38.682], [-82.467, 38.741], [-82.487, 38.743], [-82.484, 38.772], [-82.583, 38.78], [-82.576, 38.844], [-82.574, 38.853], [-82.455, 38.844], [-82.44, 38.976], [-82.435, 39.035], [-82.323, 39.028], [-82.323, 39.013], [-82.217, 39.009], [-82.095, 39.002], [-82.1, 38.952], [-82.124, 38.913], [-82.142, 38.893], [-82.138, 38.861], [-82.141, 38.847], [-82.147, 38.835], [-82.169, 38.82], [-82.191, 38.813], [-82.209, 38.801], [-82.217, 38.788], [-82.218, 38.775], [-82.197, 38.759], [-82.191, 38.733], [-82.181, 38.711], [-82.189, 38.682], [-82.182, 38.657], [-82.173, 38.639], [-82.169, 38.621], [-82.173, 38.608], [-82.18, 38.6], [-82.197, 38.592], [-82.213, 38.591], [-82.251, 38.598], [-82.267, 38.596], [-82.285, 38.584]]]"
104,Geauga,2020,177,"[[[-81.003, 41.502], [-81.003, 41.348], [-81.298, 41.347], [-81.392, 41.349], [-81.392, 41.425], [-81.375, 41.425], [-81.376, 41.446], [-81.391, 41.445], [-81.391, 41.57], [-81.296, 41.57], [-81.295, 41.641], [-81.102, 41.641], [-81.102, 41.714], [-81.003, 41.715], [-81.003, 41.502]]]"
105,Geauga,2021,184,"[[[-81.003, 41.502], [-81.003, 41.348], [-81.298, 41.347], [-81.392, 41.349], [-81.392, 41.425], [-81.375, 41.425], [-81.376, 41.446], [-81.391, 41.445], [-81.391, 41.57], [-81.296, 41.57], [-81.295, 41.641], [-81.102, 41.641], [-81.102, 41.714], [-81.003, 41.715], [-81.003, 41.502]]]"
106,Geauga,2022,142,"[[[-81.003, 41.502], [-81.003, 41.348], [-81.298, 41.347], [-81.392, 41.349], [-81.392, 41.425], [-81.375, 41.425], [-81.376, 41.446], [-81.391, 41.445], [-81.391, 41.57], [-81.296, 41.57], [-81.295, 41.641], [-81.102, 41.641], [-81.102, 41.714], [-81.003, 41.715], [-81.003, 41.502]]]"
107,Geauga,2023,108,"[[[-81.003, 41.502], [-81.003, 41.348], [-81.298, 41.347], [-81.392, 41.349], [-81.392, 41.425], [-81.375, 41.425], [-81.376, 41.446], [-81.391, 41.445], [-81.391, 41.57], [-81.296, 41.57], [-81.295, 41.641], [-81.102, 41.641], [-81.102, 41.714], [-81.003, 41.715], [-81.003, 41.502]]]"
108,Greene,2020,546,"[[[-83.647, 39.773], [-83.653, 39.717], [-83.67, 39.55], [-83.977, 39.569], [-84.114, 39.578], [-84.109, 39.626], [-84.112, 39.628], [-84.097, 39.794], [-84.093, 39.838], [-84.055, 39.836], [-84.054, 39.85], [-83.94, 39.844], [-83.941, 39.829], [-83.827, 39.822], [-83.829, 39.798], [-83.741, 39.789], [-83.739, 39.781], [-83.647, 39.776], [-83.647, 39.773]]]"
109,Greene,2021,564,"[[[-83.647, 39.773], [-83.653, 39.717], [-83.67, 39.55], [-83.977, 39.569], [-84.114, 39.578], [-84.109, 39.626], [-84.112, 39.628], [-84.097, 39.794], [-84.093, 39.838], [-84.055, 39.836], [-84.054, 39.85], [-83.94, 39.844], [-83.941, 39.829], [-83.827, 39.822], [-83.829, 39.798], [-83.741, 39.789], [-83.739, 39.781], [-83.647, 39.776], [-83.647, 39.773]]]"
110,Greene,2022,558,"[[[-83.647, 39.773], [-83.653, 39.717], [-83.67, 39.55], [-83.977, 39.569], [-84.114, 39.578], [-84.109, 39.626], [-84.112, 39.628], [-84.097, 39.794], [-84.093, 39.838], [-84.055, 39.836], [-84.054, 39.85], [-83.94, 39.844], [-83.941, 39.829], [-83.827, 39.822], [-83.829, 39.798], [-83.741, 39.789], [-83.739, 39.781], [-83.647, 39.776], [-83.647, 39.773]]]"
111,Greene,2023,666,"[[[-83.647, 39.773], [-83.653, 39.717], [-83.67, 39.55], [-83.977, 39.569], [-84.114, 39.578], [-84.109, 39.626], [-84.112, 39.628], [-84.097, 39.794], [-84.093, 39.838], [-84.055, 39.836], [-84.054, 39.85], [-83.94, 39.844], [-83.941, 39.829], [-83.827, 39.822], [-83.829, 39.798], [-83.741, 39.789], [-83.739, 39.781], [-83.647, 39.776], [-83.647, 39.773]]]"
112,Guernsey,2020,170,"[[[-81.226, 40.17], [-81.234, 39.951], [-81.348, 39.954], [-81.348, 39.95], [-81.386, 39.95], [-81.387, 39.921], [-81.462, 39.923], [-81.465, 39.894], [-81.578, 39.897], [-81.58, 39.839], [-81.694, 39.842], [-81.691, 39.931], [-81.729, 39.932], [-81.717, 40.152], [-81.67, 40.152], [-81.668, 40.222], [-81.623, 40.221], [-81.338, 40.214], [-81.34, 40.171], [-81.226, 40.17]]]"
113,Guernsey,2021,222,"[[[-81.226, 40.17], [-81.234, 39.951], [-81.348, 39.954], [-81.348, 39.95], [-81.386, 39.95], [-81.387, 39.921], [-81.462, 39.923], [-81.465, 39.894], [-81.578, 39.897], [-81.58, 39.839], [-81.694, 39.842], [-81.691, 39.931], [-81.729, 39.932], [-81.717, 40.152], [-81.67, 40.152], [-81.668, 40.222], [-81.623, 40.221], [-81.338, 40.214], [-81.34, 40.171], [-81.226, 40.17]]]"
114,Guernsey,2022,169,"[[[-81.226, 40.17], [-81.234, 39.951], [-81.348, 39.954], [-81.348, 39.95], [-81.386, 39.95], [-81.387, 39.921], [-81.462, 39.923], [-81.465, 39.894], [-81.578, 39.897], [-81.58, 39.839], [-81.694, 39.842], [-81.691, 39.931], [-81.729, 39.932], [-81.717, 40.152], [-81.67, 40.152], [-81.668, 40.222], [-81.623, 40.221], [-81.338, 40.214], [-81.34, 40.171], [-81.226, 40.17]]]"
115,Guernsey,2023,213,"[[[-81.226, 40.17], [-81.234, 39.951], [-81.348, 39.954], [-81.348, 39.95], [-81.386, 39.95], [-81.387, 39.921], [-81.462, 39.923], [-81.465, 39.894], [-81.578, 39.897], [-81.58, 39.839], [-81.694, 39.842], [-81.691, 39.931], [-81.729, 39.932], [-81.717, 40.152], [-81.67, 40.152], [-81.668, 40.222], [-81.623, 40.221], [-81.338, 40.214], [-81.34, 40.171], [-81.226, 40.17]]]"
116,Hamilton,2020,4561,"[[[-84.353, 39.292], [-84.334, 39.293], [-84.262, 39.288], [-84.26, 39.27], [-84.262, 39.265], [-84.295, 39.247], [-84.297, 39.239], [-84.32, 39.225], [-84.312, 39.208], [-84.284, 39.213], [-84.279, 39.197], [-84.29, 39.181], [-84.3, 39.175], [-84.306, 39.117], [-84.319, 39.022], [-84.337, 39.033], [-84.354, 39.04], [-84.378, 39.044], [-84.408, 39.046], [-84.425, 39.053], [-84.434, 39.07], [-84.434, 39.094], [-84.44, 39.11], [-84.463, 39.122], [-84.478, 39.116], [-84.495, 39.099], [-84.519, 39.091], [-84.545, 39.098], [-84.564, 39.085], [-84.6, 39.074], [-84.624, 39.074], [-84.638, 39.08], [-84.655, 39.092], [-84.688, 39.103], [-84.724, 39.139], [-84.739, 39.146], [-84.76, 39.141], [-84.776, 39.122], [-84.803, 39.11], [-84.819, 39.107], [-84.82, 39.226], [-84.819, 39.306], [-84.703, 39.305], [-84.642, 39.305], [-84.631, 39.312], [-84.599, 39.309], [-84.563, 39.308], [-84.524, 39.303], [-84.505, 39.306], [-84.483, 39.301], [-84.464, 39.303], [-84.429, 39.298], [-84.388, 39.297], [-84.353, 39.292]]]"
117,Hamilton,2021,4587,"[[[-84.353, 39.292], [-84.334, 39.293], [-84.262, 39.288], [-84.26, 39.27], [-84.262, 39.265], [-84.295, 39.247], [-84.297, 39.239], [-84.32, 39.225], [-84.312, 39.208], [-84.284, 39.213], [-84.279, 39.197], [-84.29, 39.181], [-84.3, 39.175], [-84.306, 39.117], [-84.319, 39.022], [-84.337, 39.033], [-84.354, 39.04], [-84.378, 39.044], [-84.408, 39.046], [-84.425, 39.053], [-84.434, 39.07], [-84.434, 39.094], [-84.44, 39.11], [-84.463, 39.122], [-84.478, 39.116], [-84.495, 39.099], [-84.519, 39.091], [-84.545, 39.098], [-84.564, 39.085], [-84.6, 39.074], [-84.624, 39.074], [-84.638, 39.08], [-84.655, 39.092], [-84.688, 39.103], [-84.724, 39.139], [-84.739, 39.146], [-84.76, 39.141], [-84.776, 39.122], [-84.803, 39.11], [-84.819, 39.107], [-84.82, 39.226], [-84.819, 39.306], [-84.703, 39.305], [-84.642, 39.305], [-84.631, 39.312], [-84.599, 39.309], [-84.563, 39.308], [-84.524, 39.303], [-84.505, 39.306], [-84.483, 39.301], [-84.464, 39.303], [-84.429, 39.298], [-84.388, 39.297], [-84.353, 39.292]]]"
118,Hamilton,2022,4516,"[[[-84.353, 39.292], [-84.334, 39.293], [-84.262, 39.288], [-84.26, 39.27], [-84.262, 39.265], [-84.295, 39.247], [-84.297, 39.239], [-84.32, 39.225], [-84.312, 39.208], [-84.284, 39.213], [-84.279, 39.197], [-84.29, 39.181], [-84.3, 39.175], [-84.306, 39.117], [-84.319, 39.022], [-84.337, 39.033], [-84.354, 39.04], [-84.378, 39.044], [-84.408, 39.046], [-84.425, 39.053], [-84.434, 39.07], [-84.434, 39.094], [-84.44, 39.11], [-84.463, 39.122], [-84.478, 39.116], [-84.495, 39.099], [-84.519, 39.091], [-84.545, 39.098], [-84.564, 39.085], [-84.6, 39.074], [-84.624, 39.074], [-84.638, 39.08], [-84.655, 39.092], [-84.688, 39.103], [-84.724, 39.139], [-84.739, 39.146], [-84.76, 39.141], [-84.776, 39.122], [-84.803, 39.11], [-84.819, 39.107], [-84.82, 39.226], [-84.819, 39.306], [-84.703, 39.305], [-84.642, 39.305], [-84.631, 39.312], [-84.599, 39.309], [-84.563, 39.308], [-84.524, 39.303], [-84.505, 39.306], [-84.483, 39.301], [-84.464, 39.303], [-84.429, 39.298], [-84.388, 39.297], [-84.353, 39.292]]]"
119,Hamilton,2023,4093,"[[[-84.353, 39.292], [-84.334, 39.293], [-84.262, 39.288], [-84.26, 39.27], [-84.262, 39.265], [-84.295, 39.247], [-84.297, 39.239], [-84.32, 39.225], [-84.312, 39.208], [-84.284, 39.213], [-84.279, 39.197], [-84.29, 39.181], [-84.3, 39.175], [-84.306, 39.117], [-84.319, 39.022], [-84.337, 39.033], [-84.354, 39.04], [-84.378, 39.044], [-84.408, 39.046], [-84.425, 39.053], [-84.434, 39.07], [-84.434, 39.094], [-84.44, 39.11], [-84.463, 39.122], [-84.478, 39.116], [-84.495, 39.099], [-84.519, 39.091], [-84.545, 39.098], [-84.564, 39.085], [-84.6, 39.074], [-84.624, 39.074], [-84.638, 39.08], [-84.655, 39.092], [-84.688, 39.103], [-84.724, 39.139], [-84.739, 39.146], [-84.76, 39.141], [-84.776, 39.122], [-84.803, 39.11], [-84.819, 39.107], [-84.82, 39.226], [-84.819, 39.306], [-84.703, 39.305], [-84.642, 39.305], [-84.631, 39.312], [-84.599, 39.309], [-84.563, 39.308], [-84.524, 39.303], [-84.505, 39.306], [-84.483, 39.301], [-84.464, 39.303], [-84.429, 39.298], [-84.388, 39.297], [-84.353, 39.292]]]"
120,Hancock,2020,275,"[[[-83.421, 41.167], [-83.422, 41.137], [-83.42, 40.992], [-83.456, 40.992], [-83.458, 40.949], [-83.477, 40.948], [-83.477, 40.905], [-83.515, 40.905], [-83.516, 40.818], [-83.651, 40.82], [-83.766, 40.819], [-83.88, 40.82], [-83.88, 40.921], [-83.881, 41.168], [-83.708, 41.168], [-83.535, 41.166], [-83.421, 41.167]]]"
121,Hancock,2021,299,"[[[-83.421, 41.167], [-83.422, 41.137], [-83.42, 40.992], [-83.456, 40.992], [-83.458, 40.949], [-83.477, 40.948], [-83.477, 40.905], [-83.515, 40.905], [-83.516, 40.818], [-83.651, 40.82], [-83.766, 40.819], [-83.88, 40.82], [-83.88, 40.921], [-83.881, 41.168], [-83.708, 41.168], [-83.535, 41.166], [-83.421, 41.167]]]"
122,Hancock,2022,333,"[[[-83.421, 41.167], [-83.422, 41.137], [-83.42, 40.992], [-83.456, 40.992], [-83.458, 40.949], [-83.477, 40.948], [-83.477, 40.905], [-83.515, 40.905], [-83.516, 40.818], [-83.651, 40.82], [-83.766, 40.819], [-83.88, 40.82], [-83.88, 40.921], [-83.881, 41.168], [-83.708, 41.168], [-83.535, 41.166], [-83.421, 41.167]]]"
123,Hancock,2023,281,"[[[-83.421, 41.167], [-83.422, 41.137], [-83.42, 40.992], [-83.456, 40.992], [-83.458, 40.949], [-83.477, 40.948], [-83.477, 40.905], [-83.515, 40.905], [-83.516, 40.818], [-83.651, 40.82], [-83.766, 40.819], [-83.88, 40.82], [-83.88, 40.921], [-83.881, 41.168], [-83.708, 41.168], [-83.535, 41.166], [-83.421, 41.167]]]"
124,Hardin,2020,96,"[[[-83.88, 40.82], [-83.766, 40.819], [-83.651, 40.82], [-83.516, 40.818], [-83.496, 40.818], [-83.497, 40.702], [-83.44, 40.702], [-83.44, 40.687], [-83.42, 40.687], [-83.42, 40.6], [-83.415, 40.515], [-83.419, 40.505], [-83.52, 40.504], [-83.52, 40.51], [-83.875, 40.531], [-83.88, 40.539], [-83.88, 40.645], [-83.88, 40.732], [-83.88, 40.82]]]"
125,Hardin,2021,167,"[[[-83.88, 40.82], [-83.766, 40.819], [-83.651, 40.82], [-83.516, 40.818], [-83.496, 40.818], [-83.497, 40.702], [-83.44, 40.702], [-83.44, 40.687], [-83.42, 40.687], [-83.42, 40.6], [-83.415, 40.515], [-83.419, 40.505], [-83.52, 40.504], [-83.52, 40.51], [-83.875, 40.531], [-83.88, 40.539], [-83.88, 40.645], [-83.88, 40.732], [-83.88, 40.82]]]"
126,Hardin,2022,214,"[[[-83.88, 40.82], [-83.766, 40.819], [-83.651, 40.82], [-83.516, 40.818], [-83.496, 40.818], [-83.497, 40.702], [-83.44, 40.702], [-83.44, 40.687], [-83.42, 40.687], [-83.42, 40.6], [-83.415, 40.515], [-83.419, 40.505], [-83.52, 40.504], [-83.52, 40.51], [-83.875, 40.531], [-83.88, 40.539], [-83.88, 40.645], [-83.88, 40.732], [-83.88, 40.82]]]"
127,Hardin,2023,11,"[[[-83.88, 40.82], [-83.766, 40.819], [-83.651, 40.82], [-83.516, 40.818], [-83.496, 40.818], [-83.497, 40.702], [-83.44, 40.702], [-83.44, 40.687], [-83.42, 40.687], [-83.42, 40.6], [-83.415, 40.515], [-83.419, 40.505], [-83.52, 40.504], [-83.52, 40.51], [-83.875, 40.531], [-83.88, 40.539], [-83.88, 40.645], [-83.88, 40.732], [-83.88, 40.82]]]"
128,Harrison,2020,0,"[[[-80.942, 40.425], [-80.875, 40.423], [-80.865, 40.421], [-80.867, 40.379], [-80.872, 40.376], [-80.875, 40.306], [-80.883, 40.16], [-80.991, 40.163], [-81.108, 40.168], [-81.112, 40.171], [-81.226, 40.173], [-81.226, 40.17], [-81.34, 40.171], [-81.338, 40.214], [-81.334, 40.305], [-81.275, 40.304], [-81.27, 40.434], [-81.212, 40.431], [-81.21, 40.434], [-81.1, 40.431], [-81.085, 40.428], [-80.942, 40.425]]]"
129,Highland,2020,188,"[[[-83.354, 39.197], [-83.386, 39.055], [-83.512, 39.037], [-83.612, 39.018], [-83.673, 39.02], [-83.702, 39.021], [-83.817, 39.02], [-83.871, 39.021], [-83.867, 39.142], [-83.866, 39.247], [-83.834, 39.246], [-83.836, 39.223], [-83.811, 39.223], [-83.794, 39.242], [-83.786, 39.262], [-83.667, 39.334], [-83.591, 39.379], [-83.373, 39.377], [-83.38, 39.358], [-83.376, 39.348], [-83.387, 39.323], [-83.376, 39.291], [-83.381, 39.279], [-83.393, 39.27], [-83.379, 39.263], [-83.38, 39.251], [-83.362, 39.243], [-83.345, 39.249], [-83.343, 39.233], [-83.354, 39.197]]]"
130,Highland,2021,212,"[[[-83.354, 39.197], [-83.386, 39.055], [-83.512, 39.037], [-83.612, 39.018], [-83.673, 39.02], [-83.702, 39.021], [-83.817, 39.02], [-83.871, 39.021], [-83.867, 39.142], [-83.866, 39.247], [-83.834, 39.246], [-83.836, 39.223], [-83.811, 39.223], [-83.794, 39.242], [-83.786, 39.262], [-83.667, 39.334], [-83.591, 39.379], [-83.373, 39.377], [-83.38, 39.358], [-83.376, 39.348], [-83.387, 39.323], [-83.376, 39.291], [-83.381, 39.279], [-83.393, 39.27], [-83.379, 39.263], [-83.38, 39.251], [-83.362, 39.243], [-83.345, 39.249], [-83.343, 39.233], [-83.354, 39.197]]]"
131,Highland,2022,230,"[[[-83.354, 39.197], [-83.386, 39.055], [-83.512, 39.037], [-83.612, 39.018], [-83.673, 39.02], [-83.702, 39.021], [-83.817, 39.02], [-83.871, 39.021], [-83.867, 39.142], [-83.866, 39.247], [-83.834, 39.246], [-83.836, 39.223], [-83.811, 39.223], [-83.794, 39.242], [-83.786, 39.262], [-83.667, 39.334], [-83.591, 39.379], [-83.373, 39.377], [-83.38, 39.358], [-83.376, 39.348], [-83.387, 39.323], [-83.376, 39.291], [-83.381, 39.279], [-83.393, 39.27], [-83.379, 39.263], [-83.38, 39.251], [-83.362, 39.243], [-83.345, 39.249], [-83.343, 39.233], [-83.354, 39.197]]]"
132,Highland,2023,138,"[[[-83.354, 39.197], [-83.386, 39.055], [-83.512, 39.037], [-83.612, 39.018], [-83.673, 39.02], [-83.702, 39.021], [-83.817, 39.02], [-83.871, 39.021], [-83.867, 39.142], [-83.866, 39.247], [-83.834, 39.246], [-83.836, 39.223], [-83.811, 39.223], [-83.794, 39.242], [-83.786, 39.262], [-83.667, 39.334], [-83.591, 39.379], [-83.373, 39.377], [-83.38, 39.358], [-83.376, 39.348], [-83.387, 39.323], [-83.376, 39.291], [-83.381, 39.279], [-83.393, 39.27], [-83.379, 39.263], [-83.38, 39.251], [-83.362, 39.243], [-83.345, 39.249], [-83.343, 39.233], [-83.354, 39.197]]]"
133,Hocking,2021,182,"[[[-82.159, 39.556], [-82.167, 39.466], [-82.281, 39.473], [-82.29, 39.384], [-82.515, 39.396], [-82.517, 39.369], [-82.634, 39.376], [-82.636, 39.361], [-82.749, 39.368], [-82.741, 39.468], [-82.731, 39.555], [-82.731, 39.569], [-82.62, 39.564], [-82.618, 39.609], [-82.496, 39.602], [-82.49, 39.661], [-82.375, 39.655], [-82.38, 39.597], [-82.262, 39.591], [-82.264, 39.562], [-82.159, 39.556]]]"
134,Hocking,2022,203,"[[[-82.159, 39.556], [-82.167, 39.466], [-82.281, 39.473], [-82.29, 39.384], [-82.515, 39.396], [-82.517, 39.369], [-82.634, 39.376], [-82.636, 39.361], [-82.749, 39.368], [-82.741, 39.468], [-82.731, 39.555], [-82.731, 39.569], [-82.62, 39.564], [-82.618, 39.609], [-82.496, 39.602], [-82.49, 39.661], [-82.375, 39.655], [-82.38, 39.597], [-82.262, 39.591], [-82.264, 39.562], [-82.159, 39.556]]]"
135,Hocking,2023,203,"[[[-82.159, 39.556], [-82.167, 39.466], [-82.281, 39.473], [-82.29, 39.384], [-82.515, 39.396], [-82.517, 39.369], [-82.634, 39.376], [-82.636, 39.361], [-82.749, 39.368], [-82.741, 39.468], [-82.731, 39.555], [-82.731, 39.569], [-82.62, 39.564], [-82.618, 39.609], [-82.496, 39.602], [-82.49, 39.661], [-82.375, 39.655], [-82.38, 39.597], [-82.262, 39.591], [-82.264, 39.562], [-82.159, 39.556]]]"
136,Huron,2020,433,"[[[-82.342, 41.284], [-82.339, 41.138], [-82.337, 41.066], [-82.437, 41.065], [-82.433, 40.993], [-82.523, 40.994], [-82.65, 40.995], [-82.725, 40.996], [-82.829, 40.997], [-82.84, 41.255], [-82.842, 41.29], [-82.742, 41.288], [-82.542, 41.286], [-82.442, 41.284], [-82.342, 41.284]]]"
137,Huron,2021,317,"[[[-82.342, 41.284], [-82.339, 41.138], [-82.337, 41.066], [-82.437, 41.065], [-82.433, 40.993], [-82.523, 40.994], [-82.65, 40.995], [-82.725, 40.996], [-82.829, 40.997], [-82.84, 41.255], [-82.842, 41.29], [-82.742, 41.288], [-82.542, 41.286], [-82.442, 41.284], [-82.342, 41.284]]]"
138,Huron,2022,275,"[[[-82.342, 41.284], [-82.339, 41.138], [-82.337, 41.066], [-82.437, 41.065], [-82.433, 40.993], [-82.523, 40.994], [-82.65, 40.995], [-82.725, 40.996], [-82.829, 40.997], [-82.84, 41.255], [-82.842, 41.29], [-82.742, 41.288], [-82.542, 41.286], [-82.442, 41.284], [-82.342, 41.284]]]"
139,Huron,2023,202,"[[[-82.342, 41.284], [-82.339, 41.138], [-82.337, 41.066], [-82.437, 41.065], [-82.433, 40.993], [-82.523, 40.994], [-82.65, 40.995], [-82.725, 40.996], [-82.829, 40.997], [-82.84, 41.255], [-82.842, 41.29], [-82.742, 41.288], [-82.542, 41.286], [-82.442, 41.284], [-82.342, 41.284]]]"
140,Jackson,2020,159,"[[[-82.435, 39.035], [-82.44, 38.976], [-82.455, 38.844], [-82.574, 38.853], [-82.576, 38.844], [-82.65, 38.849], [-82.76, 38.855], [-82.753, 38.945], [-82.807, 38.948], [-82.797, 39.059], [-82.786, 39.169], [-82.767, 39.167], [-82.763, 39.208], [-82.65, 39.202], [-82.651, 39.189], [-82.537, 39.181], [-82.54, 39.144], [-82.425, 39.138], [-82.435, 39.035]]]"
141,Jackson,2021,251,"[[[-82.435, 39.035], [-82.44, 38.976], [-82.455, 38.844], [-82.574, 38.853], [-82.576, 38.844], [-82.65, 38.849], [-82.76, 38.855], [-82.753, 38.945], [-82.807, 38.948], [-82.797, 39.059], [-82.786, 39.169], [-82.767, 39.167], [-82.763, 39.208], [-82.65, 39.202], [-82.651, 39.189], [-82.537, 39.181], [-82.54, 39.144], [-82.425, 39.138], [-82.435, 39.035]]]"
142,Jackson,2022,223,"[[[-82.435, 39.035], [-82.44, 38.976], [-82.455, 38.844], [-82.574, 38.853], [-82.576, 38.844], [-82.65, 38.849], [-82.76, 38.855], [-82.753, 38.945], [-82.807, 38.948], [-82.797, 39.059], [-82.786, 39.169], [-82.767, 39.167], [-82.763, 39.208], [-82.65, 39.202], [-82.651, 39.189], [-82.537, 39.181], [-82.54, 39.144], [-82.425, 39.138], [-82.435, 39.035]]]"
143,Jackson,2023,236,"[[[-82.435, 39.035], [-82.44, 38.976], [-82.455, 38.844], [-82.574, 38.853], [-82.576, 38.844], [-82.65, 38.849], [-82.76, 38.855], [-82.753, 38.945], [-82.807, 38.948], [-82.797, 39.059], [-82.786, 39.169], [-82.767, 39.167], [-82.763, 39.208], [-82.65, 39.202], [-82.651, 39.189], [-82.537, 39.181], [-82.54, 39.144], [-82.425, 39.138], [-82.435, 39.035]]]"
144,Jefferson,2020,300,"[[[-80.703, 40.157], [-80.766, 40.16], [-80.767, 40.155], [-80.883, 40.16], [-80.875, 40.306], [-80.872, 40.376], [-80.867, 40.379], [-80.865, 40.421], [-80.875, 40.423], [-80.942, 40.425], [-80.94, 40.469], [-80.924, 40.468], [-80.921, 40.556], [-80.863, 40.555], [-80.862, 40.6], [-80.837, 40.598], [-80.747, 40.597], [-80.747, 40.583], [-80.665, 40.583], [-80.663, 40.575], [-80.642, 40.559], [-80.625, 40.533], [-80.618, 40.508], [-80.602, 40.49], [-80.596, 40.475], [-80.597, 40.464], [-80.612, 40.435], [-80.613, 40.407], [-80.629, 40.394], [-80.612, 40.382], [-80.606, 40.369], [-80.611, 40.352], [-80.6, 40.33], [-80.602, 40.311], [-80.617, 40.287], [-80.617, 40.269], [-80.625, 40.262], [-80.65, 40.25], [-80.656, 40.242], [-80.67, 40.198], [-80.69, 40.177], [-80.703, 40.157]]]"
145,Jefferson,2021,438,"[[[-80.703, 40.157], [-80.766, 40.16], [-80.767, 40.155], [-80.883, 40.16], [-80.875, 40.306], [-80.872, 40.376], [-80.867, 40.379], [-80.865, 40.421], [-80.875, 40.423], [-80.942, 40.425], [-80.94, 40.469], [-80.924, 40.468], [-80.921, 40.556], [-80.863, 40.555], [-80.862, 40.6], [-80.837, 40.598], [-80.747, 40.597], [-80.747, 40.583], [-80.665, 40.583], [-80.663, 40.575], [-80.642, 40.559], [-80.625, 40.533], [-80.618, 40.508], [-80.602, 40.49], [-80.596, 40.475], [-80.597, 40.464], [-80.612, 40.435], [-80.613, 40.407], [-80.629, 40.394], [-80.612, 40.382], [-80.606, 40.369], [-80.611, 40.352], [-80.6, 40.33], [-80.602, 40.311], [-80.617, 40.287], [-80.617, 40.269], [-80.625, 40.262], [-80.65, 40.25], [-80.656, 40.242], [-80.67, 40.198], [-80.69, 40.177], [-80.703, 40.157]]]"
